State,Capital,Year,Month,Rainfall,Crop,Price
Rajasthan, Jaipur,2004,1,1.8,Wheat,94.8
Rajasthan, Jaipur,2004,2,3.6,Wheat,95
Rajasthan, Jaipur,2004,3,13.6,Wheat,95.6
Rajasthan, Jaipur,2004,4,13.9,Wheat,95.4
Rajasthan, Jaipur,2004,5,16,Wheat,98.4
Rajasthan, Jaipur,2004,6,148.4,Wheat,98.8
Rajasthan, Jaipur,2004,7,226.4,Wheat,99
Rajasthan, Jaipur,2004,8,22.1,Wheat,121.7
Rajasthan, Jaipur,2004,9,139.7,Wheat,101.1
Rajasthan, Jaipur,2004,10,0,Wheat,100.8
Rajasthan, Jaipur,2004,11,0,Wheat,101.1
Rajasthan, Jaipur,2004,12,0,Wheat,100.8
Rajasthan, Jaipur,2005,1,1.8,Wheat,95.8
Rajasthan, Jaipur,2005,2,3.6,Wheat,96.1
Rajasthan, Jaipur,2005,3,13.6,Wheat,98.1
Rajasthan, Jaipur,2005,4,13.9,Wheat,100.3
Rajasthan, Jaipur,2005,5,16,Wheat,100.6
Rajasthan, Jaipur,2005,6,148.4,Wheat,101.3
Rajasthan, Jaipur,2005,7,226.4,Wheat,103.5
Rajasthan, Jaipur,2005,8,22.1,Wheat,104.7
Rajasthan, Jaipur,2005,9,139.7,Wheat,107
Rajasthan, Jaipur,2005,10,0,Wheat,116.7
Rajasthan, Jaipur,2005,11,0,Wheat,119.4
Rajasthan, Jaipur,2005,12,0,Wheat,116.7
Rajasthan, Jaipur,2006,1,0,Wheat,111.6
Rajasthan, Jaipur,2006,2,0.2,Wheat,114.4
Rajasthan, Jaipur,2006,3,7.1,Wheat,116.3
Rajasthan, Jaipur,2006,4,0.2,Wheat,115.9
Rajasthan, Jaipur,2006,5,24.9,Wheat,119.1
Rajasthan, Jaipur,2006,6,36.4,Wheat,125.6
Rajasthan, Jaipur,2006,7,159.7,Wheat,127.4
Rajasthan, Jaipur,2006,8,41.8,Wheat,134.9
Rajasthan, Jaipur,2006,9,38.3,Wheat,137.1
Rajasthan, Jaipur,2006,10,0.9,Wheat,135.8
Rajasthan, Jaipur,2006,11,0,Wheat,134.8
Rajasthan, Jaipur,2006,12,0,Wheat,128.6
Rajasthan, Jaipur,2007,1,0.6,Wheat,130.1
Rajasthan, Jaipur,2007,2,8.2,Wheat,128.8
Rajasthan, Jaipur,2007,3,10,Wheat,127.9
Rajasthan, Jaipur,2007,4,0.4,Wheat,131.6
Rajasthan, Jaipur,2007,5,2.5,Wheat,133.1
Rajasthan, Jaipur,2007,6,25.1,Wheat,133.1
Rajasthan, Jaipur,2007,7,113,Wheat,135.5
Rajasthan, Jaipur,2007,8,160,Wheat,137.7
Rajasthan, Jaipur,2007,9,100.1,Wheat,137.1
Rajasthan, Jaipur,2007,10,0,Wheat,137.6
Rajasthan, Jaipur,2007,11,0,Wheat,139
Rajasthan, Jaipur,2007,12,0.2,Wheat,139.9
Rajasthan, Jaipur,2008,1,0,Wheat,146.7
Rajasthan, Jaipur,2008,2,0,Wheat,146.4
Rajasthan, Jaipur,2008,3,0,Wheat,145.6
Rajasthan, Jaipur,2008,4,7,Wheat,147.1
Rajasthan, Jaipur,2008,5,13,Wheat,147
Rajasthan, Jaipur,2008,6,166.3,Wheat,146.6
Rajasthan, Jaipur,2008,7,120.1,Wheat,144.8
Rajasthan, Jaipur,2008,8,132.7,Wheat,145.9
Rajasthan, Jaipur,2008,9,114.3,Wheat,147
Rajasthan, Jaipur,2008,10,0.2,Wheat,150.7
Rajasthan, Jaipur,2008,11,0,Wheat,152.3
Rajasthan, Jaipur,2008,12,0,Wheat,150.7
Rajasthan, Jaipur,2009,1,0,Wheat,155.7
Rajasthan, Jaipur,2009,2,0,Wheat,158
Rajasthan, Jaipur,2009,3,1.6,Wheat,158.4
Rajasthan, Jaipur,2009,4,0.3,Wheat,157.5
Rajasthan, Jaipur,2009,5,3,Wheat,156.5
Rajasthan, Jaipur,2009,6,33.6,Wheat,159.1
Rajasthan, Jaipur,2009,7,114.2,Wheat,163.3
Rajasthan, Jaipur,2009,8,102.2,Wheat,174
Rajasthan, Jaipur,2009,9,36.6,Wheat,180.8
Rajasthan, Jaipur,2009,10,3.5,Wheat,182.1
Rajasthan, Jaipur,2009,11,3.1,Wheat,179.4
Rajasthan, Jaipur,2009,12,0,Wheat,172.8
Rajasthan, Jaipur,2010,1,1.8,Wheat,168.9
Rajasthan, Jaipur,2010,2,2.6,Wheat,168.1
Rajasthan, Jaipur,2010,3,0,Wheat,168.8
Rajasthan, Jaipur,2010,4,2.1,Wheat,167.8
Rajasthan, Jaipur,2010,5,1.3,Wheat,172.5
Rajasthan, Jaipur,2010,6,15.9,Wheat,171.6
Rajasthan, Jaipur,2010,7,204.3,Wheat,168.2
Rajasthan, Jaipur,2010,8,325,Wheat,172.7
Rajasthan, Jaipur,2010,9,165.3,Wheat,173.3
Rajasthan, Jaipur,2010,10,0.4,Wheat,172.6
Rajasthan, Jaipur,2010,11,73.1,Wheat,170
Rajasthan, Jaipur,2010,12,4.1,Wheat,171.2
